"Gene"	"sample001"	"sample002"	"sample003"	"sample004"	"sample005"	"sample006"	"sample007"	"sample008"	"sample009"	"sample010"	"sample011"	"sample012"	"sample013"	"sample014"	"sample015"	"sample016"	"sample017"	"sample018"	"sample019"	"sample020"	"sample021"	"sample022"	"sample023"	"sample024"	"sample025"	"sample026"	"sample027"	"sample028"	"sample029"	"sample030"	"sample031"	"sample032"	"sample033"	"sample034"	"sample035"	"sample036"	"sample037"	"sample038"	"sample039"	"sample040"	"sample041"	"sample042"	"sample043"	"sample044"	"sample045"	"sample046"	"sample047"	"sample048"	"sample049"	"sample050"	"sample051"	"sample052"	"sample053"	"sample054"	"sample055"	"sample056"	"sample057"	"sample058"	"sample059"	"sample060"	"sample061"	"sample062"	"sample063"	"sample064"	"sample065"	"sample066"	"sample067"	"sample068"	"sample069"	"sample070"	"sample071"	"sample072"	"sample073"	"sample074"	"sample075"	"sample076"	"sample077"	"sample078"	"sample079"	"sample080"	"sample081"	"sample082"	"sample083"	"sample084"	"sample085"	"sample086"	"sample087"	"sample088"	"sample089"	"sample090"	"sample091"	"sample092"	"sample093"	"sample094"	"sample095"	"sample096"	"sample097"	"sample098"	"sample099"	"sample100"
"ABCB1"	47.5833790236818	39.9220502800449	33.2878698817029	137.600199971208	34.9306199063979	34.8661537293385	36.2558023004657	28.6141977785582	40.1887115053216	47.7524469657488	42.9284965871334	59.6004199678466	36.2936414316946	64.2855938687318	241.303671193424	40.0313228269228	48.2142125018183	37.7622436583715	781.436270695994	39.7736581206791	58.1310783941177	37.3119181989542	35.0641330915218	60.4495552697522	69.0240187008486	40.2430426655853	46.8950128120878	43.8779764066807	59.0998033048036	46.7603717443115	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	34.3251260169293	30.1291268562996	36.875147197269	51.5661911008315	43.4305875307569	41.4592296287166	39.9954320213797	32.2808263600699	62.6918649518966	32.5828755737537	45.798271443488	47.6964561822443	62.7243669182591	35.9302198359948	62.7027527646719	39.2364581810794	42.8961761906304	115.515659228989	60.7847043892962	29.4241012639161	30.699245155264	33.2237778216564	85.2736454112005	50.0071310593306	39.936761312624	39.6874712429403	37.0048141755277	37.3649989639846	45.57625638249	33.7124884422433	65.8341480249375	95.9427414921335	40.9862142556658	37.1258752577975	33.7880293612252	37.9285784510696	40.2329814303936	40.1823562540353	48.1219676109996	47.3772909021196	42.3374332412711	41.0575656551182	51.755393343609	40.828766468518	34.4184897514242	34.3787026232236	34.8488239490019	32.8297651008508	47.0839801531968	44.7475200878222	67.6343531601901	39.6135565926475	40.555330996594	52.3202056209077	35.8081163040443	36.2624408293088	35.4734371314491	35.2561647990863	57.1832100215627	50.570753084228	39.9631522283336	40.2208527381834	54.4990108422778	33.1736341139475	33.9579637854799	37.8693621311996
"ABL1"	47.5833790236818	42.6167886739479	71.2027536769624	137.600199971208	34.9306199063979	47.1390398420657	79.7599772253998	184.103748507244	83.1303497487577	47.7524469657488	42.9284965871334	74.505629483615	36.2936414316946	64.2855938687318	191.38021428966	45.7558019911727	48.2142125018183	145.082540135463	67.2550366379201	39.7736581206791	58.1310783941177	37.3119181989542	46.3021877473545	60.4495552697522	93.5017378801863	78.2324749418978	52.1941492598538	43.8779764066807	53.0038857198	62.0276331188292	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	174.611916048119	42.6327145016639	50.2055129090818	57.7283509373809	43.4305875307569	61.7327929171591	59.9931480320696	38.3819025421231	62.6918649518966	90.5478112194616	45.798271443488	47.6964561822443	71.6849907637247	55.476259426776	62.7027527646719	68.8207476496133	42.8961761906304	115.515659228989	33.2793344589631	29.4241012639161	41.2444358660972	43.2407468348858	27.9128135552211	60.6836535404977	39.936761312624	67.1313576074335	46.0524912414443	37.3649989639846	49.9175879226526	48.4111334030614	30.0269774344071	42.6033487975726	64.3893425956509	74.8828903949776	72.8469913028015	52.1517953702207	59.2028321748242	60.8963609029906	48.8919190927756	70.6632293805113	57.7270902244732	53.7648822253773	62.1023903567043	58.875081247603	54.8630726637701	67.2963103849603	49.9035158949708	47.8001379868387	43.1635658985188	92.7616091420555	71.8641438518843	58.6478705354146	61.9482680972973	54.4057246530105	35.8081163040443	36.2624408293088	43.916115168734	64.0957076047389	62.8982838226956	77.0755662255361	39.9631522283336	40.2208527381834	36.0920601604489	47.4051231488309	49.4427952716587	60.4016325992634
"ADA"	711.538058230626	396.445920305986	504.078213618626	137.600199971208	452.613507437151	408.596455554118	286.394353735244	401.6861084154	1930.90683298468	735.626445507361	707.504552252546	655.665873931993	640.564624448694	64.2855938687318	881.994997616959	749.806692209677	727.094431633671	239.393743672246	67.2550366379201	720.718571975766	1256.44512841046	819.052572344344	1077.52080990246	60.4495552697522	576.634875620752	1196.48602301185	1418.57413756566	1220.66336464565	552.351327740793	705.310067205323	825.198482783855	744.746313018409	722.573422375708	454.944757490262	565.763889574037	305.855831281725	335.324151038366	571.044000250609	1054.86382524079	716.788621050882	803.028284125263	617.064136285915	62.6918649518966	917.321987465675	553.975891380431	398.432346718378	427.875010429749	424.497582252361	62.7027527646719	385.439346941834	376.521186513259	115.515659228989	259.01306009411	419.896637086715	389.711567623499	434.151716684495	170.547290822401	127.443173504704	618.959895203704	459.779354349463	376.079926465888	682.378293579769	312.483173421099	364.88711865462	247.662509878989	595.616117864464	528.824629433728	543.44856202364	682.349252949943	512.03580908944	761.107426209472	920.959514164363	866.123234046577	820.3377919702	749.436074520361	876.02474960043	752.98382997074	714.80962894758	1017.44497554185	835.350905690399	639.127431224695	366.495082703347	341.368608384942	850.941215750071	851.816398446835	656.33721240528	616.319365155239	523.202056209077	835.206408733681	401.787844388742	328.448554400088	497.817046963098	263.007046887931	240.838728340845	756.102840160073	823.481738961567	656.586758438886	641.196586971433	479.537385596654	991.173749740953
"AGER"	47.5833790236818	55.5714939898225	33.2878698817029	137.600199971208	34.9306199063979	34.8661537293385	27.8783562479552	28.6141977785582	40.1887115053216	47.7524469657488	42.9284965871334	40.83619045416	36.2936414316946	64.2855938687318	41.776951383903	40.0313228269228	48.2142125018183	37.7622436583715	67.2550366379201	39.7736581206791	58.1310783941177	37.3119181989542	35.0641330915218	60.4495552697522	34.9931653743212	40.2430426655853	46.8950128120878	43.8779764066807	47.0727226641208	46.7603717443115	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	34.3251260169293	30.1291268562996	36.875147197269	51.5661911008315	43.4305875307569	41.4592296287166	39.9954320213797	32.2808263600699	62.6918649518966	32.5828755737537	45.798271443488	47.6964561822443	41.7744701420307	35.9302198359948	62.7027527646719	39.2364581810794	42.8961761906304	115.515659228989	33.2793344589631	29.4241012639161	30.699245155264	33.2237778216564	27.9128135552211	50.0071310593306	39.936761312624	39.6874712429403	37.0048141755277	37.3649989639846	30.8991568694847	44.6859034301935	30.0269774344071	42.6033487975726	40.9862142556658	37.1258752577975	33.7880293612252	37.9285784510696	40.2329814303936	40.1823562540353	48.1219676109996	47.3772909021196	42.3374332412711	41.0575656551182	40.8165562646759	40.828766468518	34.4184897514242	34.3787026232236	34.8488239490019	32.8297651008508	39.009097061472	44.7475200878222	42.2979069169419	39.6135565926475	40.555330996594	40.4955151864611	35.8081163040443	36.2624408293088	35.4734371314491	35.2561647990863	32.4720102337097	35.8657823292397	39.9631522283336	46.7567413081382	36.0920601604489	45.1493160290825	33.9579637854799	37.8693621311996
"AHR"	464.675487855764	259.353599644312	170.866636102781	137.600199971208	153.432747938853	62.8636751739974	106.941374567156	610.88450837444	45.3529609337554	188.956432643468	188.820992238506	163.916468482998	65.8366655570941	64.2855938687318	183.045712488571	121.995456315047	195.291667738615	37.7622436583715	67.2550366379201	213.803299227711	58.1310783941177	155.385483339545	127.668508586231	60.4495552697522	160.303690579765	177.471818155231	233.771638868258	177.3328416476	165.084038383072	183.791641141016	63.5966616148784	216.652323660979	142.828711754233	44.7912530757371	160.641589759229	66.7360159867035	78.8943774285571	133.994747575511	257.738821701277	226.989282217224	156.922077535883	112.192012014423	996.017004423257	149.60427319689	247.448060609166	194.434603626919	210.585103985977	144.708960389469	62.7027527646719	141.78094163733	238.138122122285	115.515659228989	203.50313021656	112.473627081319	59.8021295624543	53.6231774041535	87.9393191057241	62.7089423484006	269.433360195618	426.223597413557	267.100748718959	167.918305344147	71.6087960450309	65.1662401588563	65.8341480249375	139.909397451228	160.952863381999	158.323295036878	95.9580033858796	86.913337520626	101.487695658168	78.6569623672742	60.1765204975551	247.333147154515	236.49690208574	233.001685092796	266.511704130201	269.102399794002	269.324682304894	108.877351207749	111.080626337444	134.30656902758	127.520738293952	329.498364166679	219.822222247347	360.285297210129	319.008233619208	244.856132574937	152.775328211205	58.0199053268941	49.6450752654631	91.8775654664189	65.755820723262	60.2186485307935	225.811791666199	289.469477156706	243.946234624474	112.889876889763	59.3245627332334	127.525076976815
"AICDA"	47.5833790236818	39.9220502800449	33.2878698817029	137.600199971208	34.9306199063979	34.8661537293385	48.9404543932853	276.155622760865	40.1887115053216	47.7524469657488	42.9284965871334	40.83619045416	36.2936414316946	64.2855938687318	41.776951383903	40.0313228269228	48.2142125018183	37.7622436583715	67.2550366379201	39.7736581206791	58.1310783941177	37.3119181989542	35.0641330915218	60.4495552697522	66.784456116892	47.7081270800514	46.8950128120878	98.9667757852683	47.0727226641208	46.7603717443115	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	139.686100325894	30.1291268562996	36.875147197269	51.5661911008315	43.4305875307569	41.4592296287166	39.9954320213797	32.2808263600699	62.6918649518966	32.5828755737537	77.559372689547	47.9110902350644	55.9986772253921	35.9302198359948	62.7027527646719	53.6950930208072	42.8961761906304	115.515659228989	33.2793344589631	29.4241012639161	30.699245155264	33.2237778216564	27.9128135552211	50.0071310593306	39.936761312624	39.6874712429403	37.0048141755277	37.3649989639846	30.8991568694847	33.7124884422433	30.0269774344071	111.918997291223	87.3621156859516	98.4206953084213	55.0913818734777	45.8366870581176	40.2329814303936	40.1823562540353	48.1219676109996	47.3772909021196	95.492080675687	41.0575656551182	40.8165562646759	40.828766468518	34.4184897514242	34.3787026232236	34.8488239490019	32.8297651008508	39.009097061472	44.7475200878222	42.2979069169419	39.6135565926475	40.555330996594	40.4955151864611	35.8081163040443	36.2624408293088	35.4734371314491	35.2561647990863	62.8982838226956	35.8657823292397	39.9631522283336	40.2208527381834	36.0920601604489	33.1736341139475	33.9579637854799	37.8693621311996
"AIRE"	47.5833790236818	39.9220502800449	33.2878698817029	137.600199971208	34.9306199063979	34.8661537293385	43.5041749249341	28.6141977785582	49.1306998152556	47.7524469657488	42.9284965871334	40.83619045416	36.2936414316946	64.2855938687318	41.776951383903	40.0313228269228	48.2142125018183	37.7622436583715	67.2550366379201	39.7736581206791	58.1310783941177	37.3119181989542	35.0641330915218	60.4495552697522	86.8355398763781	40.2430426655853	46.8950128120878	43.8779764066807	47.0727226641208	46.7603717443115	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	34.3251260169293	46.3385971049887	36.875147197269	51.5661911008315	43.4305875307569	41.4592296287166	39.9954320213797	32.2808263600699	62.6918649518966	32.5828755737537	45.798271443488	47.6964561822443	41.7744701420307	35.9302198359948	62.7027527646719	39.2364581810794	42.8961761906304	115.515659228989	33.2793344589631	29.4241012639161	30.699245155264	33.2237778216564	27.9128135552211	50.0071310593306	39.936761312624	39.6874712429403	37.0048141755277	37.3649989639846	30.8991568694847	33.7124884422433	30.0269774344071	42.6033487975726	40.9862142556658	37.1258752577975	33.7880293612252	37.9285784510696	40.2329814303936	40.1823562540353	48.1219676109996	47.3772909021196	42.3374332412711	41.0575656551182	40.8165562646759	40.828766468518	34.4184897514242	34.3787026232236	34.8488239490019	32.8297651008508	39.009097061472	44.7475200878222	42.2979069169419	39.6135565926475	40.555330996594	40.4955151864611	35.8081163040443	36.2624408293088	35.4734371314491	35.2561647990863	32.4720102337097	35.8657823292397	39.9631522283336	40.2208527381834	36.0920601604489	33.1736341139475	33.9579637854799	46.9769437237531
"AKT3"	1248.82578247653	1137.45905657904	848.674242634014	137.600199971208	652.084812412636	504.460945232935	438.651996383451	744.784646879203	404.318532099288	1624.9202653505	1288.32711107646	1182.18729555271	866.528836002425	64.2855938687318	574.119754393286	979.826673173176	1009.53328846932	493.288188909307	1525.6468786129	1506.96424570535	1605.43505754955	1366.15722889561	812.348303397831	937.874850010205	674.598242086164	734.697108424258	835.247073196097	1208.28977529897	1394.1057544206	1964.30969623504	2244.58057503552	1888.96049111629	1170.27581490058	643.179998541047	579.734215862927	913.86161124185	1192.46851006529	1641.01668249731	2286.3381346754	1716.3084585548	1562.22157475509	986.114683647414	1235.02973955236	574.810799434376	1492.03898622168	1856.63225335004	1131.29442591633	781.464316322969	1032.58893252862	786.004348512473	1502.86753283874	115.515659228989	1012.25751623828	684.831244867015	657.762026696687	515.433689125178	610.257842757799	1142.86297322994	946.66099015444	872.588586482906	735.285657667736	489.462803928717	436.172498369647	394.672102193342	313.496657903927	1235.19889168802	1473.82327841949	1213.10653698616	742.762249447814	538.908206922022	536.406224920723	560.704599168809	869.876747520235	1066.15486581585	1483.3554797578	1427.18151095474	1446.43671262945	1358.98549190462	932.655026039216	898.693665273689	650.383601360223	619.169369802045	721.999872962255	1333.99069509811	1221.71159443549	957.974639079995	1121.13184773534	849.676899642327	680.390017893145	517.809523822115	658.794937686707	621.742466231887	731.837930642231	864.634347502146	1129.01899517877	1262.21080062967	900.532993063359	708.937147832114	553.701578504142	398.253146852761
"ALOX12"	47.5833790236818	39.9220502800449	33.2878698817029	137.600199971208	34.9306199063979	34.8661537293385	27.8783562479552	28.6141977785582	40.1887115053216	47.7524469657488	42.9284965871334	40.83619045416	36.2936414316946	64.2855938687318	41.776951383903	40.0313228269228	48.2142125018183	37.7622436583715	67.2550366379201	39.7736581206791	58.1310783941177	37.3119181989542	35.0641330915218	60.4495552697522	34.9931653743212	40.2430426655853	46.8950128120878	43.8779764066807	47.0727226641208	46.7603717443115	63.5966616148784	42.1379604514207	38.3175618388285	44.7912530757371	34.3251260169293	30.1291268562996	36.875147197269	59.7909985814142	43.4305875307569	41.4592296287166	39.9954320213797	32.2808263600699	62.6918649518966	32.5828755737537	45.798271443488	47.6964561822443	41.7744701420307	35.9302198359948	62.7027527646719	39.2364581810794	42.8961761906304	115.515659228989	33.2793344589631	29.4241012639161	30.699245155264	33.2237778216564	27.9128135552211	50.0071310593306	39.936761312624	39.6874712429403	37.0048141755277	37.3649989639846	30.8991568694847	33.7124884422433	30.0269774344071	42.6033487975726	40.9862142556658	37.1258752577975	33.7880293612252	37.9285784510696	40.2329814303936	40.1823562540353	48.1219676109996	47.3772909021196	42.3374332412711	41.0575656551182	40.8165562646759	40.828766468518	34.4184897514242	34.3787026232236	34.8488239490019	32.8297651008508	45.1335253001232	44.7475200878222	42.2979069169419	39.6135565926475	40.555330996594	40.4955151864611	35.8081163040443	36.2624408293088	35.4734371314491	35.2561647990863	32.4720102337097	35.8657823292397	39.9631522283336	40.2208527381834	36.0920601604489	33.1736341139475	33.9579637854799	37.8693621311996
"ALOX15"	47.5833790236818	164.878067656585	91.1255438011616	137.600199971208	34.9306199063979	34.8661537293385	72.5116046009314	28.6141977785582	79.3526108672574	324.979277825404	270.08463627795	322.871339825816	204.623550391894	64.2855938687318	166.418485837777	387.60328327168	956.931582629839	602.118975132734	67.2550366379201	186.22026732102	58.1310783941177	233.087552988867	112.240290025961	60.4495552697522	48.9729349413625	124.029057495334	1745.4089293595	639.192421304321	1182.13728426406	551.374923423049	63.5966616148784	423.149398853167	471.708345016898	44.7912530757371	167.626752903674	87.1183703049902	564.853504767767	490.652308324412	336.500192188304	302.652376289631	256.130746664916	135.805436496814	62.6918649518966	32.5828755737537	332.380955001115	361.467593177138	259.858091518502	405.203054200431	62.7027527646719	70.2136419150416	238.138122122285	115.515659228989	158.576028696959	129.966255282717	30.699245155264	48.4236561750642	167.881617127877	625.039131110573	225.742543319607	164.445037095123	101.319181212595	160.762908042544	30.8991568694847	40.9606734573256	115.994213829114	42.6033487975726	87.3621156859516	72.7481525676543	67.5253766784086	75.8571569021392	43.4918529262555	117.975397961848	208.079387949962	738.919917554908	162.110031880827	217.317695012541	274.287258098622	294.334577471547	231.911783945096	89.0752184967724	35.4238295441605	141.135160168557	551.315568769784	866.938454181468	538.981078889133	178.756174124322	291.12644355905	249.047418396736	177.232271646867	120.318778671647	63.0185610640194	85.4609434729852	197.251226164669	195.091922979899	106.062206013997	97.0931385099748	116.775860649132	97.0826402344672	61.8034940895734	60.4016325992634
