Mixture,Naïve B,Memory B,Plasma B,CD8 T,Naïve CD4 T,Mem. resting CD4 T,Mem. activated CD4 T,Tfh,Tregs,γΔT,Resting NK,Activated NK,Monocytes,M0-like myeloid,M1-like myeloid,M2-like myeloid,Resting DC,Activatred DC,Resting mast,Activated mast,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample001,0,0.565839994,0.11356363,0.419577292,0.148637626,0.160588606,0.521354929,0,0,0,0.678877221,0,0.319723771,0.036149954,0,0,0,0,0,0.046039007,0,0.508939079,0,0.830016951,0.661174866,3.51929111
sample002,0,0.324593439,0.089167427,0.045807837,0.209253563,0.271321179,0.421404267,0,0,0.087770083,0.429480303,0,0.155559377,0.004662804,0,0.010251399,0,0.011613035,0,0.032771774,0,0.840205928,0,0.821302285,0.682326649,2.933862416
sample003,0,0.373403559,0.236724817,0.113639593,0.415693047,0,0.300259062,0,0,0.090246443,0.404623535,0,0.397044911,0,0,0,0,0.002013696,0,0.047170007,0,0.446435765,0,0.802439284,0.714700474,2.827254434
sample004,0.233793478,0,0.018474155,0.013022224,0.041052731,0.084536964,0,0.139383108,0,0.114827616,0,0.101848269,0.366586002,0,0,0.133415927,0,0.16475798,0.338262341,0,0.192671839,0.235570833,0.03,0.342868557,0.938967541,2.178203467
sample005,0,0.254411306,0.137578461,0.01841365,0.300411382,0,0.353483945,0,0,0.231788235,0.184822653,0,0.136119264,0,0,0.020075025,0,0.014912888,0.065204855,0,0,1.613862663,0,0.777649168,0.714940761,3.331084327
sample006,0,0.161095762,0.165756603,0.167036965,0.29669908,0,0.459675041,0,0,0.565386832,0.321042526,0,0.319198841,0.011624827,0,0.011421229,0,0.004357772,0.136433926,0,0,0.961401422,0,0.644783511,0.786144374,3.581130826
sample007,0,0.22036803,0.19503454,0,0.165487947,0,0.21441018,0,0,0.365616612,0.125648856,0,0.192991615,0.406864707,0.006810401,0.009551042,0,0,0.113537313,0,0,1.054777118,0,0.812093958,0.717246521,3.071098362
sample008,0,0.30880039,0.108114358,0,0,0.421099472,0.264473699,0,0,0.281872322,0,0.031335468,0.029659935,0.560001355,0.069548639,0,0,0,0.01719108,0,0.042168642,0.4780502,0,0.623111929,0.810066291,2.612315561
sample009,0.029087448,0,0.200782148,0,0.050488402,0,0.171986666,0.015537168,0,0.423119749,0.025745006,0.083717036,0.521798349,1.053365794,0.030047056,0.127923995,0,0,0.161945549,0,0,0.222117376,0.002,0.547031071,0.845174562,3.117661742
sample010,0,0.413230581,0.166893087,0.105309363,0.467273271,0.193337165,0.523046277,0,0,0.187896897,0.365494099,0,0,0,0,0.055430242,0.028515764,0.026379588,0.040469129,0,0,0.296513226,0,0.775638535,0.699016673,2.86978869
sample011,0,0.323685169,0.152056547,0.121552687,0.506170129,0.097277242,0.551688611,0,0,0.008382232,0.431220581,0,0.036270067,0,0,0.078528987,0,0.035088109,0,0,0,0.537419841,0,0.816665626,0.681277121,2.879340204
sample012,0,0.437661623,0.07951865,0.059979913,0.385441448,0.177377626,0.363586328,0,0,0.163862309,0.41318582,0,0.289037278,0,0,0.00134967,0,0.007667395,0,0,0,0.488446187,0,0.778487712,0.706397248,2.867114245
sample013,0,0.254915293,0.09062383,0.015255085,0.326258777,0.015763569,0.277724725,0,0,0.008644361,0.35506601,0,0.395302031,0,0,0.008742807,0,0.009258571,0.022483668,0,0,1.000931378,0,0.795076723,0.719674735,2.780970104
sample014,0,0.093744129,0.135190798,0,0.115920382,0,0.248262832,0,0,0.115030053,0.253244372,0,0.395545113,0,0.000360647,0.03234807,0,0.014202643,0.024503082,0,0,0.994853256,0,0.633701871,0.805151548,2.423205378
sample015,0,0.295793175,0.264664199,0.151261955,0.446184526,0,0.336966615,0.002517549,0,0.309946266,0.251131632,0,0.456736108,0,0,0,0,0.005941056,0.070199532,0,0.003781277,0.496446943,0.001,0.582130707,0.831542894,3.091570833
sample016,0,0.230423389,0.20863619,0.162335645,0.459221628,0,0.420262696,0,0,0.398042212,0.20787177,0,0.226708853,0.116741138,0,0.035421044,0,0.030412662,0.216193448,0,0,0.264829799,0,0.728131886,0.750910805,2.977100474
sample017,0,0.180446302,0.133591838,0.253464767,0.28188909,0,0.23744443,0,0,0.233427647,0.213193014,0,0.546163124,0.048668129,0,0.008689712,0,0.007037335,0.137527444,0,0,0.199099057,0,0.778813289,0.732318658,2.480641889
sample018,0.024743946,0.076325954,0.04264933,0,0.06386459,0,0.151079782,0,0,0.241604165,0.07928121,0,0.524455534,0.22560939,0,0,0,0,0.02182777,0,0,1.504932484,0,0.795938356,0.702304659,2.956374155
sample019,0,0.659620851,0.157538738,0.692332487,0.066248653,0,0.513402745,0,0,0,0.686605333,0,0,0.03397891,0.001021526,0.07883123,0.016650018,0.004333067,0.049758895,0,0,0.305903448,0,0.75982397,0.691627818,3.266225902
sample020,0,0.521692274,0.194178872,0.107721368,0.356458869,0.009952934,0.514312241,0,0,0.099000277,0.314699381,0,0.136234493,0,0,0.085199109,0,0.041796042,0,0.008656903,0,0.494523571,0,0.809824757,0.711999054,2.884426335
sample021,0,0.773186154,0.029193987,0.317662048,0.376439055,0,0.431004655,0,0,0,0.474749752,0,0.046829229,0,0,0.020980185,0.007520417,0.010913957,0,0.0236153,0,0.516613619,0,0.786685564,0.693227532,3.028708358
sample022,0,0.424761512,0.227321405,0.220280417,0.333521307,0,0.349645694,0,0,0.084443282,0.418507752,0,0.360141489,0,0,0,0,0.011701525,0,0.050341763,0,0.352393528,0,0.788479786,0.714585148,2.833059673
sample023,0,0.39706372,0.093732855,0.159185129,0.366729687,0,0.398571941,0,0,0.097268632,0.407935047,0,0.552405577,0,0,0,0,0.005395338,0,0.000916682,0,0.452692952,0,0.770209993,0.728515245,2.93189756
sample024,0,0.531165926,0.020091783,0.412285058,0.004414867,0,0.183389577,0.000330477,0,0,0.1130428,0,0.492538733,0.011907478,0.000695939,0.020647256,0,0.00614038,0,0,0,1.38129478,0,0.712762972,0.761959061,3.177945054
sample025,0,0.268477602,0.211012673,0.026233275,0.311328551,0,0.402661422,0,0,0.584342599,0.184655973,0,0.174520059,0.001593685,0,0.013284458,0,0.015115842,0.134054804,0,0,0.677262069,0,0.677791135,0.772465219,3.004543012
sample026,0,0.252268185,0.16789545,0.618093933,0,0,0.257849906,0,0,0.371957347,0.268095783,0,0.721429546,0.066672784,0.006743154,0.005116073,0,0,0.095537891,0,0,0.157794879,0,0.717219508,0.744925849,2.989454931
sample027,0,0.272491776,0.253730046,0.348297593,0.241302376,0,0.563844133,0,0,0.213006478,0.370639483,0,0.198794999,0.044642,0.014198794,0.051056799,0,0,0.058879673,0,0,0.178093956,0,0.830613159,0.663451738,2.808978104
sample028,0,0.721287436,0.353941538,0.347938938,0.272210679,0,0.660881522,0,0,0.043006264,0.585337426,0,0,0.059200092,0,0.052421637,0,0,0,0.015131445,0,0.068552218,0,0.818166559,0.662544009,3.179909196
sample029,0,0.346705833,0.15293706,0.090190951,0.352512152,0,0.398832635,0,0,0.198367902,0.358746513,0,0.326628862,0.140263969,0,0,0,0.001707277,0.078972893,0,0,0.325642243,0,0.767371827,0.731632274,2.77150829
sample030,0,0.562664592,0.234085711,0,0.384214473,0.10442249,0.377734856,0,0,0.090202751,0.304654244,0,0.148443246,0.021517543,0,0.01689486,0,0.013325445,0,0,0,0.333829081,0,0.798840447,0.716454222,2.591989292
sample031,0,0.734395979,0.095475661,0.304671104,0.54058297,0,0.435178514,0,0,0,0.370027655,0,0,0.029761008,0,0.027478645,0.003304724,0.009073328,0.002889483,0.010331102,0,0.361791934,0,0.788426212,0.693359831,2.924962108
sample032,0,0.522910942,0.093420711,0.013949827,0.372183918,0.094792478,0.391534311,0,0,0.014801947,0.372615806,0,0.353818253,0.012278173,0,0,0,0.007217516,0,0.007902697,0,0.395859524,0,0.761944107,0.737281696,2.653286104
sample033,0,0.350247864,0.093512418,0,0.331022247,0.064421843,0.362190526,0,0,0.002541016,0.359268858,0,0.387895062,0.008380751,0,0.000217043,0,0.006305863,0.017771496,0,0,0.576658049,0,0.742910348,0.75320016,2.560433037
sample034,0,0.410553924,0.065560888,0.071970401,0.058134009,0.102687545,0.132972876,0,0,0.005459464,0.13701742,0,0.035746772,0,0.00106268,0,0,0.040985038,0,0,0.047947017,1.993060368,0,0.745363774,0.71443133,3.103158402
sample035,0,0.19202785,0.23772916,0,0.233706047,0,0.453972457,0,0,0.184963022,0.227759306,0,0.241199932,0.059243559,0.030852316,0,0,0.03879092,0.14487027,0,0,0.787897973,0,0.708082169,0.782757432,2.833012812
sample036,0,0.21195681,0.104655365,0,0.185138193,0,0.23149285,0,0,0.15690544,0.272466605,0,0.566114991,0.168782517,0.008610017,0,0,0.00025197,0.034900611,0,0,0.852100982,0,0.710979031,0.777788927,2.793376349
sample037,0,0.227566797,0.095420271,0,0.193319403,0,0.171126038,0,0,0.234508655,0.155120126,0,0.276308657,0.530005935,0.015651276,0,0,0,0.063625389,0,0,0.840379937,0,0.760868839,0.743375559,2.803032484
sample038,0.084716501,0,0.19767486,0.012636964,0.23785932,0,0.433716081,0,0,0.407676679,0.141397257,0,0.20994011,0.403906558,0.031087114,0.016703892,0,0,0,0.125651792,0.012580386,0.207109771,0,0.64660777,0.793198245,2.522657285
sample039,0.007399384,0.509245838,0.139423038,0.127644216,0.309396186,0.268226506,0.587661153,0,0,0.021418465,0.354575615,0,0.017340769,0.008324914,0,0.055103362,0.022699435,0.023483243,0,0,0.038689265,0.076824581,0,0.773895966,0.699734121,2.567455972
sample040,0,0.597962319,0.072997737,0.020676063,0.41003352,0.102460292,0.377142447,0,0,0.123208309,0.300933157,0,0.128188212,0,0,0.007489964,1.86E-05,0.003468466,0,0,0,0.521464892,0,0.808938402,0.695105144,2.666043984
sample041,0,0.543081179,0.078647336,0.059776326,0.436633519,0.034031249,0.332433963,0,0,0.068366521,0.226992062,0,0.296546195,0,0,0.001858627,0,0.005499818,0,0.001464401,0,0.319134187,0,0.782130967,0.724467706,2.404465383
sample042,0,0.230416792,0.067434951,0,0.288263468,0.039858913,0.267622651,0,0,0.06493077,0.257092821,0,0.610622014,0,0,0.003275853,0,0.005755217,0.004756546,0,0,0.759872451,0,0.790494574,0.737093602,2.599902447
