"Gene","Group","Regulation","lfc","padj","Significant"
"IL-12p40","Baseline","None",1.28955312814667,1,FALSE
"RANTES","Baseline","None",-1.24050702787105,1,FALSE
"IFN-β","Baseline","None",1.10544540636955,1,FALSE
"IL-1β","Baseline","None",0.815134326607377,1,FALSE
"TNF-α","Baseline","None",0.801616008323599,1,FALSE
"IFN-γ","Baseline","None",0.712298968812844,1,FALSE
"GM-CSF","Baseline","None",0.681511317421024,1,FALSE
"IL-17A","Baseline","None",0.598379506753756,1,FALSE
"IP-10","Baseline","None",0.393105337190978,1,FALSE
"IL-8","Baseline","None",-0.34880926220303,1,FALSE
"I-TAC","Baseline","None",0.333137985074497,1,FALSE
"Myoglobin","Baseline","None",0.271418301855942,1,FALSE
"MIG","Baseline","None",0.266682175036595,1,FALSE
"Eotaxin","Baseline","None",-0.246725404139777,1,FALSE
"MCP-1","Baseline","None",-0.237074464836891,1,FALSE
"MIP-1β","Baseline","None",0.220436039317339,1,FALSE
"IGFBP-4","Baseline","None",-0.212779357489882,1,FALSE
"IL-23","Baseline","None",0.158896147270134,1,FALSE
"Factor XIII","Baseline","None",-0.15341316430198,1,FALSE
"Cystatin C","Baseline","None",0.151581886773393,1,FALSE
"IL-10","Baseline","None",-0.138473370475838,1,FALSE
"Antithrombin","Baseline","None",-0.103204479974075,1,FALSE
"ICAM-1","Baseline","None",0.0972566001907023,1,FALSE
"MMP-2","Baseline","None",-0.0940593490501094,1,FALSE
"MPO","Baseline","None",0.0904644237615084,1,FALSE
"Plasminogen","Baseline","None",-0.0706757012685628,1,FALSE
"sCD40L","Baseline","None",-0.0666985956355788,1,FALSE
"Fibrinogen","Baseline","None",-0.0579496859426207,1,FALSE
"PAI-1","Baseline","None",0.0430708290011736,1,FALSE
"MIP-1α","Baseline","None",0.0427363811447634,1,FALSE
"tPA","Baseline","None",0.0236252400841455,1,FALSE
"MMP-9","Baseline","None",0.0103992665101664,1,FALSE
"Prothrombin","Baseline","None",-0.00535076034081428,1,FALSE
"VCAM-1","Baseline","None",-0.00219474365551342,1,FALSE
"MRP8/14","Baseline","None",7.105427357601e-15,1,FALSE
"OPN","Baseline","None",5.32907051820075e-15,1,FALSE
"Tissue Factor","Baseline","None",-1.77635683940025e-15,1,FALSE
"SAA","Baseline","None",-1.77635683940025e-15,1,FALSE
"IL-6","Baseline","None",0,1,FALSE
"PSGL-1","Baseline","None",0,1,FALSE
"NGAL","Baseline","None",0,1,FALSE
"RANTES","Pre-response","None",-2.47873665935805,0.996178012276633,FALSE
"sCD40L","Pre-response","None",-1.15378682876402,0.996178012276633,FALSE
"IFN-β","Pre-response","None",0.825745054406454,0.996178012276633,FALSE
"PAI-1","Pre-response","None",-0.721481497433281,0.996178012276633,FALSE
"IL-17A","Pre-response","None",0.664427835954791,0.996178012276633,FALSE
"TNF-α","Pre-response","None",0.648419661626475,0.996178012276633,FALSE
"MIP-1β","Pre-response","None",-0.647306244283892,0.996178012276633,FALSE
"IP-10","Pre-response","None",0.59751858737287,0.996178012276633,FALSE
"IGFBP-4","Pre-response","None",-0.550232204232559,0.996178012276633,FALSE
"MCP-1","Pre-response","None",-0.514521336000016,0.996178012276633,FALSE
"IL-23","Pre-response","None",-0.443256447266352,0.996178012276633,FALSE
"IL-1β","Pre-response","None",0.413492007632906,0.996178012276633,FALSE
"IL-8","Pre-response","None",-0.386310827572311,0.996178012276633,FALSE
"GM-CSF","Pre-response","None",0.368757431632605,0.996178012276633,FALSE
"MMP-2","Pre-response","None",-0.341576459041555,0.996178012276633,FALSE
"IL-12p40","Pre-response","None",0.309953134169669,0.996178012276633,FALSE
"tPA","Pre-response","None",-0.276184681465889,0.996178012276633,FALSE
"IFN-γ","Pre-response","None",0.240176390980484,0.996178012276633,FALSE
"Plasminogen","Pre-response","None",-0.236883190934698,0.996178012276633,FALSE
"MIG","Pre-response","None",-0.219783100822391,0.996178012276633,FALSE
"MRP8/14","Pre-response","None",-0.210090607891953,0.996178012276633,FALSE
"IL-6","Pre-response","None",-0.19725886149218,0.996178012276633,FALSE
"IL-10","Pre-response","None",-0.1949937007147,0.996178012276633,FALSE
"SAA","Pre-response","None",-0.185156259718593,0.996178012276633,FALSE
"Factor XIII","Pre-response","None",0.173645490193593,0.996178012276633,FALSE
"MIP-1α","Pre-response","None",-0.148617837020059,0.996178012276633,FALSE
"I-TAC","Pre-response","None",0.131148633117037,0.996178012276633,FALSE
"VCAM-1","Pre-response","None",0.112256432984818,0.996178012276633,FALSE
