"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"MIP-1β","Survived","Pre-response","None",-0.799181030843235,0.992137066433587,FALSE
"IL-23","Survived","Pre-response","None",-0.778040149579768,0.992137066433587,FALSE
"RANTES","Survived","Pre-response","None",-0.765119916009169,0.992137066433587,FALSE
"MRP8/14","Survived","Pre-response","None",0.636923641433121,0.992137066433587,FALSE
"IL-10","Survived","Pre-response","None",-0.592252467105827,0.992137066433587,FALSE
"IL-12p40","Survived","Pre-response","None",-0.591736656319013,0.992137066433587,FALSE
"PAI-1","Survived","Pre-response","None",-0.53944993937743,0.992137066433587,FALSE
"IL-8","Survived","Pre-response","None",-0.527359458006739,0.992137066433587,FALSE
"IFN-γ","Survived","Pre-response","None",-0.511220381196631,0.992137066433587,FALSE
"Myoglobin","Survived","Pre-response","None",0.492222932250893,0.992137066433587,FALSE
"SAA","Survived","Pre-response","None",0.490749834552933,0.992137066433587,FALSE
"tPA","Survived","Pre-response","None",-0.475161672810671,0.992137066433587,FALSE
"Cystatin C","Survived","Pre-response","None",0.473143726947228,0.992137066433587,FALSE
"MCP-1","Survived","Pre-response","None",-0.462305140942384,0.992137066433587,FALSE
"IL-1β","Survived","Pre-response","None",-0.447797890135539,0.992137066433587,FALSE
"TNF-α","Survived","Pre-response","None",-0.398925179906607,0.992137066433587,FALSE
"GM-CSF","Survived","Pre-response","None",-0.346582372183477,0.992137066433587,FALSE
"ICAM-1","Survived","Pre-response","None",0.34321711518119,0.992137066433587,FALSE
"MIG","Survived","Pre-response","None",-0.2941539605836,0.992137066433587,FALSE
"MMP-2","Survived","Pre-response","None",0.279853016957869,0.992137066433587,FALSE
"OPN","Survived","Pre-response","None",0.277528140299227,0.992137066433587,FALSE
"Prothrombin","Survived","Pre-response","None",-0.277212946864896,0.992137066433587,FALSE
"MIP-1α","Survived","Pre-response","None",-0.270135036963905,0.992137066433587,FALSE
"IGFBP-4","Survived","Pre-response","None",0.224200782825973,0.992137066433587,FALSE
"Plasminogen","Survived","Pre-response","None",-0.19536193489688,0.992137066433587,FALSE
"IP-10","Survived","Pre-response","None",-0.177590384495694,0.992137066433587,FALSE
"NGAL","Survived","Pre-response","None",0.16134404983122,0.992137066433587,FALSE
"VCAM-1","Survived","Pre-response","None",0.150904761387611,0.992137066433587,FALSE
"Antithrombin","Survived","Pre-response","None",-0.131330137009662,0.992137066433587,FALSE
"sCD40L","Survived","Pre-response","None",-0.124994182099524,0.992137066433587,FALSE
"IFN-β","Survived","Pre-response","None",-0.119461325477755,0.992137066433587,FALSE
"IL-6","Survived","Pre-response","None",-0.114607872561424,0.992137066433587,FALSE
"Factor XIII","Survived","Pre-response","None",0.0960633455787523,0.992137066433587,FALSE
"I-TAC","Survived","Pre-response","None",-0.095561503121611,0.992137066433587,FALSE
"MPO","Survived","Pre-response","None",0.087181284517353,0.992137066433587,FALSE
"Eotaxin","Survived","Pre-response","None",-0.064453854291727,0.992137066433587,FALSE
"Fibrinogen","Survived","Pre-response","None",-0.0450152373908281,0.992137066433587,FALSE
"Tissue Factor","Survived","Pre-response","None",-0.0178193865954208,0.992137066433587,FALSE
"IL-17A","Survived","Pre-response","None",0.0161734038820183,0.992137066433587,FALSE
"MMP-9","Survived","Pre-response","None",0.00420507967763051,0.992137066433587,FALSE
"PSGL-1","Survived","Pre-response","None",-0.00197230524597991,0.992137066433587,FALSE
"RANTES","Survived","Early","None",0.872781311530794,0.999793809519705,FALSE
"I-TAC","Survived","Early","None",0.610260523236206,0.999793809519705,FALSE
"IL-12p40","Survived","Early","None",0.575308695031949,0.999793809519705,FALSE
"IFN-γ","Survived","Early","None",0.520355336253315,0.999793809519705,FALSE
"MIP-1β","Survived","Early","None",0.469430241142617,0.999793809519705,FALSE
"TNF-α","Survived","Early","None",0.451649050436195,0.999793809519705,FALSE
"IL-8","Survived","Early","None",-0.426091288420771,0.999793809519705,FALSE
"IL-1β","Survived","Early","None",0.405966902032988,0.999793809519705,FALSE
"MPO","Survived","Early","None",0.369533831620842,0.999793809519705,FALSE
"IL-10","Survived","Early","None",-0.359976905360448,0.999793809519705,FALSE
"VCAM-1","Survived","Early","None",0.353655365609965,0.999793809519705,FALSE
"ICAM-1","Survived","Early","None",0.319831274357387,0.999793809519705,FALSE
"IP-10","Survived","Early","None",0.314757312072843,0.999793809519705,FALSE
"MMP-2","Survived","Early","None",-0.294106406055899,0.999793809519705,FALSE
"IL-17A","Survived","Early","None",0.287925981306442,0.999793809519705,FALSE
"Eotaxin","Survived","Early","None",-0.253603900144272,0.999793809519705,FALSE
"MCP-1","Survived","Early","None",0.25351698232304,0.999793809519705,FALSE
"MIP-1α","Survived","Early","None",-0.23140971081494,0.999793809519705,FALSE
"Prothrombin","Survived","Early","None",-0.217014710807664,0.999793809519705,FALSE
"MRP8/14","Survived","Early","None",0.203038294832734,0.999793809519705,FALSE
"Plasminogen","Survived","Early","None",-0.188820305184162,0.999793809519705,FALSE
"IFN-β","Survived","Early","None",0.183612951568525,0.999793809519705,FALSE
"SAA","Survived","Early","None",0.179484343494961,0.999793809519705,FALSE
"IL-23","Survived","Early","None",0.17739283270973,0.999793809519705,FALSE
"GM-CSF","Survived","Early","None",-0.161368023379685,0.999793809519705,FALSE
"Myoglobin","Survived","Early","None",0.135790056863531,0.999793809519705,FALSE
"IL-6","Survived","Early","None",0.134498499991177,0.999793809519705,FALSE
"tPA","Survived","Early","None",0.133040247025571,0.999793809519705,FALSE
"PAI-1","Survived","Early","None",0.0880737016992263,0.999793809519705,FALSE
"Antithrombin","Survived","Early","None",-0.0846769227930899,0.999793809519705,FALSE
"MIG","Survived","Early","None",0.0810586894971461,0.999793809519705,FALSE
"Factor XIII","Survived","Early","None",-0.0804792985441551,0.999793809519705,FALSE
"OPN","Survived","Early","None",-0.0349651338333103,0.999793809519705,FALSE
"Tissue Factor","Survived","Early","None",0.0178193865954182,0.999793809519705,FALSE
"Fibrinogen","Survived","Early","None",-0.0129344485517997,0.999793809519705,FALSE
"MMP-9","Survived","Early","None",0.00692828802917411,0.999793809519705,FALSE
"IGFBP-4","Survived","Early","None",0.00608666610950692,0.999793809519705,FALSE
"Cystatin C","Survived","Early","None",-0.00502042276869652,0.999793809519705,FALSE
"NGAL","Survived","Early","None",0.00379921396673666,0.999793809519705,FALSE
"PSGL-1","Survived","Early","None",0.00197230524598346,0.999793809519705,FALSE
"sCD40L","Survived","Early","None",0.000169032573893446,0.999793809519705,FALSE
"IP-10","Survived","Middle","Up",2.85734380517061,0.00783622999413765,TRUE
"I-TAC","Survived","Middle","Up",2.72470752503727,0.00783622999413765,TRUE
"tPA","Survived","Middle","None",2.37477194403425,0.0528290996927167,FALSE
"MCP-1","Survived","Middle","None",1.67046956624179,0.0528290996927167,FALSE
"MPO","Survived","Middle","None",1.4317464568968,0.0657477996344066,FALSE
"RANTES","Survived","Middle","None",1.29226517775338,0.562961796304837,FALSE
"MRP8/14","Survived","Middle","None",1.19772516509683,0.345054750000538,FALSE
"VCAM-1","Survived","Middle","None",1.12147639690251,0.0765001661112528,FALSE
"IL-8","Survived","Middle","Down",-1.11371800745903,0.037058911480235,TRUE
"MIG","Survived","Middle","None",0.888208014067519,0.562961796304837,FALSE
"IL-6","Survived","Middle","None",0.887639923741729,0.633990833124743,FALSE
"Myoglobin","Survived","Middle","None",0.878125794216395,0.562961796304837,FALSE
"MIP-1β","Survived","Middle","None",0.823085999940597,0.46888549691517,FALSE
"ICAM-1","Survived","Middle","None",0.660984945400724,0.272023040097001,FALSE
"MIP-1α","Survived","Middle","None",-0.6507199107354,0.0528290996927167,FALSE
"IL-10","Survived","Middle","None",-0.624969893455232,0.361594853343407,FALSE
"IL-12p40","Survived","Middle","None",0.596546338694938,0.722781914062026,FALSE
"Eotaxin","Survived","Middle","None",0.589606478206333,0.680534865123404,FALSE
