"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"IL1R2","Survived","Pre-response","None",-0.931031995847947,0.999507493356054,FALSE
"HLA-A","Survived","Pre-response","None",0.921351934963873,0.999507493356054,FALSE
"FCGR1A","Survived","Pre-response","None",0.914456717061381,0.999507493356054,FALSE
"F13A1","Survived","Pre-response","None",-0.823459590547025,0.999507493356054,FALSE
"PTGER4","Survived","Pre-response","None",-0.812424275972102,0.999507493356054,FALSE
"GP1BB","Survived","Pre-response","None",-0.781874026678215,0.999507493356054,FALSE
"CD28","Survived","Pre-response","None",-0.779229771177255,0.999507493356054,FALSE
"TNFAIP3","Survived","Pre-response","None",-0.767258384746262,0.999507493356054,FALSE
"IL7","Survived","Pre-response","None",-0.760262784154192,0.999507493356054,FALSE
"CLU","Survived","Pre-response","None",-0.75856411042082,0.999507493356054,FALSE
"ICOS","Survived","Pre-response","None",-0.750703474310102,0.999507493356054,FALSE
"PTPN2","Survived","Pre-response","None",-0.745166466200597,0.999507493356054,FALSE
"TBP","Survived","Pre-response","None",-0.739111372390485,0.999507493356054,FALSE
"ROCK2","Survived","Pre-response","None",-0.733555876435366,0.999507493356054,FALSE
"TRIM39","Survived","Pre-response","None",0.728034109732847,0.999507493356054,FALSE
"NFIL3","Survived","Pre-response","None",-0.725044821058917,0.999507493356054,FALSE
"LAIR1","Survived","Pre-response","None",-0.707808708718309,0.999507493356054,FALSE
"REPS1","Survived","Pre-response","None",-0.702137321195853,0.999507493356054,FALSE
"C4B","Survived","Pre-response","None",0.701909188884166,0.999507493356054,FALSE
"FCAR","Survived","Pre-response","None",0.694000833270471,0.999507493356054,FALSE
"BLNK","Survived","Pre-response","None",0.692623473274375,0.999507493356054,FALSE
"CCR3","Survived","Pre-response","None",-0.681854945359188,0.999507493356054,FALSE
"TIGIT","Survived","Pre-response","None",-0.680521409085754,0.999507493356054,FALSE
"ERCC3","Survived","Pre-response","None",-0.678453350210617,0.999507493356054,FALSE
"BCL2L11","Survived","Pre-response","None",-0.667713958610797,0.999507493356054,FALSE
"TBK1","Survived","Pre-response","None",-0.662802381811941,0.999507493356054,FALSE
"CR2","Survived","Pre-response","None",-0.655832103692313,0.999507493356054,FALSE
"SDHA","Survived","Pre-response","None",-0.65332450325979,0.999507493356054,FALSE
"PTGS2","Survived","Pre-response","None",-0.642425608165045,0.999507493356054,FALSE
"TNFSF8","Survived","Pre-response","None",-0.639769619079233,0.999507493356054,FALSE
"CD1A","Survived","Pre-response","None",-0.63294605198328,0.999507493356054,FALSE
"CHUK","Survived","Pre-response","None",-0.631880094427819,0.999507493356054,FALSE
"KCNJ2","Survived","Pre-response","None",-0.630178433025871,0.999507493356054,FALSE
"ZEB1","Survived","Pre-response","None",-0.62856792390552,0.999507493356054,FALSE
"ITGAX","Survived","Pre-response","None",0.625329042152447,0.999507493356054,FALSE
"TIRAP","Survived","Pre-response","None",-0.624347881786216,0.999507493356054,FALSE
"CD244","Survived","Pre-response","None",-0.623328727225854,0.999507493356054,FALSE
"RIPK1","Survived","Pre-response","None",-0.619778077042384,0.999507493356054,FALSE
"PSMC2","Survived","Pre-response","None",-0.614132952689204,0.999507493356054,FALSE
"IRF7","Survived","Pre-response","None",0.60904329776371,0.999507493356054,FALSE
"LILRA5","Survived","Pre-response","None",0.588878016056665,0.999507493356054,FALSE
"MME","Survived","Pre-response","None",-0.583399314099109,0.999507493356054,FALSE
"RPS6KA5","Survived","Pre-response","None",-0.579903464382744,0.999507493356054,FALSE
"HSPB2","Survived","Pre-response","None",0.574272145151482,0.999507493356054,FALSE
"CCL4","Survived","Pre-response","None",-0.569462201648962,0.999507493356054,FALSE
"KLRG1","Survived","Pre-response","None",-0.569034632406565,0.999507493356054,FALSE
"C5aR1","Survived","Pre-response","None",-0.566786909693404,0.999507493356054,FALSE
"EGR2","Survived","Pre-response","None",0.565718517374242,0.999507493356054,FALSE
"CD8A","Survived","Pre-response","None",0.565470910921761,0.999507493356054,FALSE
"IKBKB","Survived","Pre-response","None",-0.558592850759829,0.999507493356054,FALSE
"CCR5","Survived","Pre-response","None",-0.55546498492528,0.999507493356054,FALSE
"POU2F2","Survived","Pre-response","None",0.555232008960999,0.999507493356054,FALSE
"CLEC4E","Survived","Pre-response","None",-0.555139660144166,0.999507493356054,FALSE
"TCF4","Survived","Pre-response","None",-0.553421179512061,0.999507493356054,FALSE
"MYC","Survived","Pre-response","None",-0.551880484655483,0.999507493356054,FALSE
"TRAF1","Survived","Pre-response","None",0.549731098680844,0.999507493356054,FALSE
"LILRA2","Survived","Pre-response","None",0.547354393474354,0.999507493356054,FALSE
"IRAK1","Survived","Pre-response","None",-0.546534866419553,0.999507493356054,FALSE
"FCER1A","Survived","Pre-response","None",-0.54484326805587,0.999507493356054,FALSE
"CEACAM1","Survived","Pre-response","None",-0.537255340305666,0.999507493356054,FALSE
"PRKCD","Survived","Pre-response","None",-0.533337184335701,0.999507493356054,FALSE
"CD68","Survived","Pre-response","None",-0.533308207533289,0.999507493356054,FALSE
"NCF4","Survived","Pre-response","None",0.532094102284299,0.999507493356054,FALSE
"IL21R","Survived","Pre-response","None",-0.528960137127351,0.999507493356054,FALSE
"TRAF6","Survived","Pre-response","None",-0.525944413930674,0.999507493356054,FALSE
"KLRF1","Survived","Pre-response","None",-0.518026583134544,0.999507493356054,FALSE
"KIR3DS1","Survived","Pre-response","None",-0.515989344815496,0.999507493356054,FALSE
"TRADD","Survived","Pre-response","None",0.51360666530699,0.999507493356054,FALSE
"FADD","Survived","Pre-response","None",-0.512792386188686,0.999507493356054,FALSE
"GZMA","Survived","Pre-response","None",-0.511558327686974,0.999507493356054,FALSE
"CARD9","Survived","Pre-response","None",-0.511543935917354,0.999507493356054,FALSE
"MAPKAPK2","Survived","Pre-response","None",-0.508227633234674,0.999507493356054,FALSE
"ATG5","Survived","Pre-response","None",-0.507107154063684,0.999507493356054,FALSE
"CD86","Survived","Pre-response","None",-0.505734113569368,0.999507493356054,FALSE
"CEACAM8","Survived","Pre-response","None",-0.50267331368667,0.999507493356054,FALSE
"NFKBIZ","Survived","Pre-response","None",-0.501852602088602,0.999507493356054,FALSE
